score_threshold,mask_threshold,mean_iou,empty_masks
0.5,0.5,0.8221,155
0.5,0.4,0.8252,155
0.5,0.3,0.8253,155
0.5,0.2,0.8222,155
0.5,0.1,0.8236,155
0.4,0.5,0.8591,116
0.4,0.4,0.8624,116
0.4,0.3,0.8628,116
0.4,0.2,0.8602,116
0.4,0.1,0.8618,116
0.3,0.5,0.8893,85
0.3,0.4,0.8932,85
0.3,0.3,0.8938,85
0.3,0.2,0.8913,85
0.3,0.1,0.8926,85
0.2,0.5,0.9117,52
0.2,0.4,0.9153,52
0.2,0.3,0.9157,52
0.2,0.2,0.9229,52
0.2,0.1,0.9237,52
0.1,0.5,0.9421,29
0.1,0.4,0.9454,29
0.1,0.3,0.9452,29
0.1,0.2,0.9421,29
0.1,0.1,0.9535,29
0.05,0.5,0.951,11
0.05,0.4,0.9544,11
0.05,0.3,0.9545,11
0.05,0.2,0.9586,11
0.05,0.1,0.9615,11
